Country;Average hours per week per employed person;Share of employed working 49 or more hours per week
Afghanistan;37.96;27.9
Albania;41.21;22
Algeria;43.7;26
Argentina;35.13;19.9
Armenia;39.85;17
Aruba;39.43;
Australia;33.23;13.9
Austria;34.16;8
Azerbaijan;36.88;4.1
Bangladesh;46.93;50.4
Belarus;35.5;2.2
Belgium;35.71;7
Belize;43;27.3
Benin;40.36;28.9
Bermuda;41.8;21.2
Bolivia;40.44;35.1
Bosnia and Herzegovina;40.99;15.8
Botswana;45.75;34.9
Brazil;35.11;10.8
Brunei Darussalam;46.1;30.6
Bulgaria;39.42;1.1
Burkina Faso;44.95;
Burundi;40.27;21.5
Cambodia;43.82;56.1
Canada;32.1;10.6
Cayman Islands;42;18.4
Chile;34.63;13.3
China;46.1;
Colombia;38.74;29.4
Comoros;42.55;32.6
Congo;48.61;45.6
Congo, Democratic Republic of the;35.21;21
Cook Islands;37;11.2
Costa Rica;36.93;20.3
Côte d'Ivoire;44.31;40.5
Croatia;38.17;4.5
Cuba;41;
Curaçao;36.6;5
Czech Republic;37.94;8.3
Denmark;34.23;6.3
Dominican Republic;38.79;18.8
Ecuador;37.9;10.1
Egypt;46.23;30.9
El Salvador;42.82;31.4
Estonia;37.19;5.1
Eswatini;43.65;25.5
Ethiopia;30.02;20.2
Falkland Islands (Malvinas);44.65;26.8
Finland;35.78;7.3
France;35.88;9.1
Gambia;49.84;44.7
Georgia;40.5;21.7
Germany;34.17;5.9
Ghana;39.83;
Greece;40.34;
Honduras;40.17;34.3
Hong Kong, China;43;29.9
Hungary;38.05;3.2
Iceland;37.9;14.3
India;47.86;
Indonesia;39.27;26.9
Iran, Islamic Republic of;44.62;34.9
Iraq;41.6;30.9
Ireland;36.42;9.3
Isle of Man;35;
Israel;36;15.7
Italy;35.82;7.8
Japan;37.8;18.3
Jersey;40;
Jordan;47.47;37.7
Kazakhstan;38;
Kenya;45.19;38.5
Korea, Republic of;38.67;19.5
Kosovo;41.88;18.8
Kyrgyzstan;38.02;11.8
Lao People's Democratic Republic;41.19;43.8
Latvia;38.12;2.2
Lebanon;46.53;39.5
Liberia;28.51;5.6
Lithuania;38.23;2.3
Luxembourg;37.16;7.6
Macau, China;46;14
Madagascar;33.25;21.5
Malaysia;45.1;16
Maldives;46.19;44.9
Mali;42.34;19.8
Malta;38.08;9.5
Mauritania;38.8;
Mauritius;36.8;16.8
Mexico;38.84;28.3
Micronesia, Federated States of;30.37;10.6
Moldova, Republic of;35.71;7.6
Mongolia;46.81;40
Montenegro;43.53;12.8
Montserrat;37.88;12.4
Morocco;44.9;41.7
Mozambique;28.57;18.7
Myanmar;45.73;41
Namibia;43.08;35.7
Nauru;39.09;10.6
Nepal;40.26;30.6
Netherlands;31.74;6.7
New Zealand;33;14.9
Nicaragua;35.64;24.5
Niger;39.28;31.1
North Macedonia;36.57;5.3
Norway;33.84;4.7
Occupied Palestinian Territory;34.88;14.1
Pakistan;46.76;40.3
Palau;41.49;4
Panama;36.63;11.7
Peru;38.25;26
Philippines;41.73;22.8
Poland;39.08;7.7
Portugal;37.37;7.4
Qatar;48;87.7
Réunion;33.02;8.7
Romania;38.68;3.7
Russian Federation;37.79;2.8
Rwanda;32.08;20.8
Saint Lucia;40.26;8.3
Samoa;44.17;19.3
Saudi Arabia;44.1;29.6
Senegal;36.32;
Serbia;37.98;16.4
Seychelles;41.64;18.4
Sierra Leone;41.87;41.2
Singapore;44.7;
Slovakia;38.34;6.9
Slovenia;39.03;7
Solomon Islands;34.6;41.4
South Africa;39.8;18.6
Spain;36.59;5.9
Sri Lanka;41.74;34.8
Sweden;34.9;5.7
Switzerland;35.42;10.3
Tajikistan;41.27;
Tanzania, United Republic of;37.34;35.4
Thailand;42.29;20.2
Timor-Leste;30.36;27.2
Togo;38.46;
Tonga;34.44;14.2
Turkey;43;24.4
Tuvalu;31.29;9.9
Uganda;37.96;38.7
Ukraine;39;4.3
United Arab Emirates;52.58;46.5
United Kingdom;35.85;11.4
United States;35.9;14.2
Uruguay;42.09;
Vanuatu;30.6;5
Venezuela, Bolivarian Republic of;37.04;9
Viet Nam;41.29;30.2
Yemen;40.03;97
Zambia;40.2;28.3
Zimbabwe;36.56;28.7
