Pais,Numero_tlc
Afghanistan,2
Albania,5
Algeria,2
Andorra,1
Angola,1
Anguilla,1
Antigua and Barbuda,3
Argentina,8
Armenia,12
"Aruba, the Netherlands with respect to",1
Australia,17
Austria,46
Azerbaijan,5
Bahamas,3
"Bahrain, Kingdom of",4
Bangladesh,5
Barbados,3
Belarus,8
Belgium,46
Belize,3
Benin,3
Bermuda,1
Bhutan,3
"Bolivia, Plurinational State of",4
Bosnia and Herzegovina,4
Botswana,6
Brazil,9
British Indian Ocean Territory,1
Brunei Darussalam,10
Bulgaria,46
Burkina Faso,2
Burundi,2
Cabo Verde,1
Cambodia,7
Cameroon,4
Canada,15
Cayman Islands,1
Central African Republic,1
Chad,1
Chile,31
China,16
Colombia,14
Comoros,2
Congo,1
Cook Islands,3
Costa Rica,15
Côte d'Ivoire,4
Croatia,46
Cuba,4
Cyprus,46
Czech Republic,46
Democratic Republic of the Congo,1
Denmark,46
Djibouti,0
Dominica,3
Dominican Republic,5
Ecuador,8
Egypt,10
El Salvador,13
Equatorial Guinea,1
Eritrea,1
Estonia,46
Eswatini,7
Ethiopia,1
European Union,45
Faeroe Islands,5
Falkland Islands (Islas Malvinas),1
Fiji,5
Finland,46
France,46
French Polynesia,1
French Southern Territories,1
Gabon,1
The Gambia,1
Georgia,14
Germany,46
Ghana,4
Greece,46
Greenland,1
Grenada,3
Guatemala,10
Guinea,2
Guinea-Bissau,1
Guyana,4
Haiti,2
Honduras,13
"Hong Kong, China",8
Hungary,46
Iceland,34
India,17
Indonesia,13
Iran,3
Iraq,2
Ireland,46
Israel,10
Italy,46
Jamaica,3
Japan,18
Jordan,8
Kazakhstan,11
Kenya,3
Kiribati,3
"Korea, Democratic People's Republic of",1
"Korea, Republic of",20
"Kuwait, the State of",3
Kyrgyz Republic,10
Lao People's Democratic Republic,9
Latvia,46
Lebanese Republic,4
Lesotho,7
Liberia,1
Libya,2
Liechtenstein,32
Lithuania,46
Luxembourg,46
"Macao, China",2
Madagascar,1
Malawi,2
Malaysia,16
Maldives,2
Mali,2
Malta,46
Marshall Islands,1
Mauritania,0
Mauritius,8
Mexico,23
"Micronesia, Federated States of",2
"Moldova, Republic of",9
Mongolia,1
Montenegro,5
Montserrat,2
Morocco,9
Mozambique,4
Myanmar,8
Namibia,7
Nauru,2
Nepal,3
Netherlands,46
Netherlands Antilles,1
New Caledonia,1
New Zealand,13
Nicaragua,10
Niger,2
Nigeria,2
Niue,3
North Macedonia,6
Norway,34
Oman,4
Pakistan,10
Palau,0
Palestine,4
Panama,18
Papua New Guinea,6
Paraguay,8
Peru,21
Philippines,11
Pitcairn,1
Poland,46
Portugal,46
Qatar,3
Romania,46
Russian Federation,12
Rwanda,2
"British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha",1
Saint Kitts and Nevis,3
Saint Lucia,3
Saint Pierre and Miquelon,1
Saint Vincent and the Grenadines,3
Samoa,5
San Marino,1
Sao Tomé and Principe,0
"Saudi Arabia, Kingdom of",3
Senegal,2
Serbia,8
Seychelles,4
Sierra Leone,1
Singapore,27
Slovak Republic,46
Slovenia,46
Solomon Islands,6
Somalia,0
South Africa,7
South Georgia and the South Sandwich Islands,1
South Sudan,0
Spain,46
Sri Lanka,6
Sudan,3
Suriname,3
Sweden,46
Switzerland,34
Syrian Arab Republic,3
Chinese Taipei,5
Tajikistan,2
Tanzania,4
Thailand,14
Togo,2
Tonga,3
Trinidad and Tobago,4
Tunisia,8
Türkiye,24
Turkmenistan,5
Turks and Caicos Islands,1
Tuvalu,2
Uganda,2
Ukraine,20
United Arab Emirates,4
United Kingdom,37
United States of America,14
UNMIK/Kosovo,3
Uruguay,8
Uzbekistan,4
Vanuatu,3
"Venezuela, Bolivarian Republic of",3
Viet Nam,15
"Virgin Islands, British",1
Wallis and Futuna Islands,1
Yemen,1
Zambia,2
Zimbabwe,6
